date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:33	111/111	---M-Z	200	added ('OK')	text/plain	etag:%227393-1646737685;gz%22	https://realnews7.xyz/robots.txt		(from )
23:34:33	78503/78503	---M-Z	200	added ('OK')	text/html	etag:%2238790b6ba90b206935be8ca3d2128610%22	https://realnews7.xyz/	C:/My%20Web%20Sites/mo2/realnews7.xyz/index.html	(from )
23:34:34	83369/83369	---M-Z	200	added ('OK')	text/css	etag:%22145a9-62152692-0;gz%22	https://realnews7.xyz/wp-includes/css/dist/block-library/style.min.css?ver=5.9.1	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-includes/css/dist/block-library/style.min74e5.css	(from https://realnews7.xyz/)
23:34:34	15020/15020	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ebb0d943cd92645adbf67789796ff6ff%22	https://realnews7.xyz/feed/	C:/My%20Web%20Sites/mo2/realnews7.xyz/feed/index.html	(from https://realnews7.xyz/)
23:34:34	1008/1008	---M-Z	200	added ('OK')	application/rss+xml	etag:%2245619c61a1c15d35bab8ac10ea02d28d%22	https://realnews7.xyz/comments/feed/	C:/My%20Web%20Sites/mo2/realnews7.xyz/comments/feed/index.html	(from https://realnews7.xyz/)
23:34:35	289/289	---M--	200	added ('OK')	text/css	etag:%22121-621481cf-0;;;%22	https://realnews7.xyz/wp-content/plugins/post-views-counter/css/frontend.css?ver=1.3.11	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/plugins/post-views-counter/css/frontend6895.css	(from https://realnews7.xyz/)
23:34:35	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-6040904e-0;gz%22	https://realnews7.xyz/wp-includes/css/dashicons.min.css?ver=5.9.1	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-includes/css/dashicons.min74e5.css	(from https://realnews7.xyz/)
23:34:36	63801/63801	---M-Z	200	added ('OK')	text/css	etag:%22f939-62272db4-0;gz%22	https://realnews7.xyz/wp-content/themes/enjoyvideo/style.css?ver=20210902	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/themes/enjoyvideo/style1eba.css	(from https://realnews7.xyz/)
23:34:36	7228/7228	---M-Z	200	added ('OK')	text/css	etag:%221c3c-62272db4-0;gz%22	https://realnews7.xyz/wp-content/themes/enjoyvideo/dark.css?ver=20210902	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/themes/enjoyvideo/dark1eba.css	(from https://realnews7.xyz/)
23:34:36	7162/7162	---M-Z	200	added ('OK')	text/css	etag:%221bfa-62272db4-0;gz%22	https://realnews7.xyz/wp-content/themes/enjoyvideo/responsive.css?ver=20210902	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/themes/enjoyvideo/responsive1eba.css	(from https://realnews7.xyz/)
23:34:37	154/154	---M--	200	added ('OK')	text/css	etag:%229a-62272db4-0;;;%22	https://realnews7.xyz/wp-content/themes/enjoyvideo/genericons/genericons.css?ver=5.9.1	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/themes/enjoyvideo/genericons/genericons74e5.css	(from https://realnews7.xyz/)
23:34:37	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-5fb577a6-0;gz%22	https://realnews7.xyz/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://realnews7.xyz/)
23:34:38	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-60497454-0;gz%22	https://realnews7.xyz/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-includes/js/jquery/jquery.minaf6c.js	(from https://realnews7.xyz/)
23:34:38	792/792	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Mar%202022%2016:34:39%20GMT	https://realnews7.xyz/xmlrpc.php?rsd	C:/My%20Web%20Sites/mo2/realnews7.xyz/xmlrpc0db0.php	(from https://realnews7.xyz/)
23:34:38	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-52a95560-0;gz%22	https://realnews7.xyz/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-includes/wlwmanifest.xml	(from https://realnews7.xyz/)
23:34:39	20020/20020	---M--	200	added ('OK')	image/jpeg	etag:%224e34-6227844c-0;;;%22	https://realnews7.xyz/wp-content/uploads/2022/03/8LNQV-ywTM0sd-480x270.jpg	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/uploads/2022/03/8LNQV-ywTM0sd-480x270.jpg	(from https://realnews7.xyz/)
23:34:39	162347/162347	---MC-	200	added ('OK')	application/json	etag:%228240-1646757279;;;%22	https://realnews7.xyz/wp-json/	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-json/index.html	(from https://realnews7.xyz/)
23:34:39	30306/30306	---M-Z	200	added ('OK')	text/html	etag:%22057193801fa51b814ae6f526ac8c2b09%22	https://realnews7.xyz/sample-page/	C:/My%20Web%20Sites/mo2/realnews7.xyz/sample-page/index.html	(from https://realnews7.xyz/)
23:34:39	24349/24349	---M--	200	added ('OK')	image/jpeg	etag:%225f1d-6227839c-0;;;%22	https://realnews7.xyz/wp-content/uploads/2022/03/d8WgGwXPBEcsd-1-480x270.jpg	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/uploads/2022/03/d8WgGwXPBEcsd-1-480x270.jpg	(from https://realnews7.xyz/)
23:34:40	74384/74384	---MCZ	200	added ('OK')	text/html	etag:%22d1ca415cb1583c5139ec399e0e68c3e7%22	https://realnews7.xyz/category/uncategorized/	C:/My%20Web%20Sites/mo2/realnews7.xyz/category/uncategorized/index.html	(from https://realnews7.xyz/)
23:34:40	23893/23893	---M--	200	added ('OK')	image/jpeg	etag:%225d55-62278355-0;;;%22	https://realnews7.xyz/wp-content/uploads/2022/03/1HrIdeq61Hwsd-480x270.jpg	C:/My%20Web%20Sites/mo2/realnews7.xyz/wp-content/uploads/2022/03/1HrIdeq61Hwsd-480x270.jpg	(from https://realnews7.xyz/)
